0.800000 ; -0.400000 
-0.709484 ; 0.519470 ; -0.107673 
-0.708895 ; 0.519039 ; -0.107584 
-0.708308 ; 0.518609 ; -0.107495 
-0.707720 ; 0.518179 ; -0.107406 
-0.707134 ; 0.517749 ; -0.107317 
-0.706547 ; 0.517320 ; -0.107228 
-0.705962 ; 0.516891 ; -0.107139 
-0.705376 ; 0.516463 ; -0.107050 
-0.704791 ; 0.516034 ; -0.106961 
-0.704207 ; 0.515607 ; -0.106873 
-0.703623 ; 0.515179 ; -0.106784 
-0.703040 ; 0.514752 ; -0.106695 
-0.702457 ; 0.514325 ; -0.106607 
-0.701875 ; 0.513899 ; -0.106519 
-0.701293 ; 0.513473 ; -0.106430 
-0.700711 ; 0.513047 ; -0.106342 
-0.700130 ; 0.512622 ; -0.106254 
-0.699550 ; 0.512197 ; -0.106166 
-0.698970 ; 0.511772 ; -0.106078 
-0.698390 ; 0.511348 ; -0.105990 
-0.697811 ; 0.510924 ; -0.105902 
-0.697233 ; 0.510500 ; -0.105814 
-0.696655 ; 0.510077 ; -0.105726 
-0.696077 ; 0.509654 ; -0.105639 
-0.695500 ; 0.509231 ; -0.105551 
-0.694923 ; 0.508809 ; -0.105464 
-0.694347 ; 0.508387 ; -0.105376 
-0.693771 ; 0.507966 ; -0.105289 
-0.693196 ; 0.507545 ; -0.105202 
-0.692621 ; 0.507124 ; -0.105114 
-0.692047 ; 0.506703 ; -0.105027 
-0.691473 ; 0.506283 ; -0.104940 
-0.690900 ; 0.505863 ; -0.104853 
-0.690327 ; 0.505444 ; -0.104766 
-0.689755 ; 0.505025 ; -0.104679 
-0.689183 ; 0.504606 ; -0.104593 
-0.688612 ; 0.504188 ; -0.104506 
-0.688041 ; 0.503770 ; -0.104419 
-0.687470 ; 0.503352 ; -0.104333 
-0.686900 ; 0.502935 ; -0.104246 
-0.686331 ; 0.502518 ; -0.104160 
-0.685762 ; 0.502101 ; -0.104073 
-0.685193 ; 0.501685 ; -0.103987 
-0.684625 ; 0.501269 ; -0.103901 
-0.684057 ; 0.500853 ; -0.103815 
-0.683490 ; 0.500438 ; -0.103729 
-0.682924 ; 0.500023 ; -0.103643 
-0.682357 ; 0.499609 ; -0.103557 
-0.681792 ; 0.499194 ; -0.103471 
-0.681226 ; 0.498781 ; -0.103385 
-0.680662 ; 0.498367 ; -0.103299 
-0.680097 ; 0.497954 ; -0.103214 
-0.679533 ; 0.497541 ; -0.103128 
-0.678970 ; 0.497128 ; -0.103043 
-0.678407 ; 0.496716 ; -0.102957 
-0.677844 ; 0.496304 ; -0.102872 
-0.677282 ; 0.495893 ; -0.102786 
-0.676721 ; 0.495482 ; -0.102701 
-0.676160 ; 0.495071 ; -0.102616 
-0.675599 ; 0.494661 ; -0.102531 
-0.675039 ; 0.494250 ; -0.102446 
-0.674479 ; 0.493841 ; -0.102361 
-0.673920 ; 0.493431 ; -0.102276 
-0.673362 ; 0.493022 ; -0.102191 
-0.672803 ; 0.492613 ; -0.102107 
-0.672245 ; 0.492205 ; -0.102022 
-0.671688 ; 0.491797 ; -0.101937 
-0.671131 ; 0.491389 ; -0.101853 
-0.670575 ; 0.490982 ; -0.101768 
-0.670019 ; 0.490575 ; -0.101684 
-0.669463 ; 0.490168 ; -0.101600 
-0.668908 ; 0.489761 ; -0.101516 
-0.668354 ; 0.489355 ; -0.101431 
-0.667799 ; 0.488950 ; -0.101347 
-0.667246 ; 0.488544 ; -0.101263 
-0.666693 ; 0.488139 ; -0.101179 
